,state,year,party_detailed,percent_total_votes
98,Alabama,2012,REPUBLICAN,0.6054582232982282
99,Alaska,2012,REPUBLICAN,0.5480157739729447
100,Arizona,2012,REPUBLICAN,0.536545331659747
101,Arkansas,2012,REPUBLICAN,0.6056693608410911
102,California,2012,DEMOCRAT,0.6023895914168964
103,Colorado,2012,DEMOCRAT,0.5149222655161517
104,Connecticut,2012,DEMOCRAT,0.5808501325885442
105,Delaware,2012,DEMOCRAT,0.5861074198458528
106,District Of Columbia,2012,DEMOCRAT,0.9091311392818725
107,Florida,2012,DEMOCRAT,0.5000786506869869
108,Georgia,2012,REPUBLICAN,0.5332924217752452
109,Hawaii,2012,DEMOCRAT,0.7014793244563191
110,Idaho,2012,REPUBLICAN,0.6452978349589283
111,Illinois,2012,DEMOCRAT,0.5760213536247709
112,Indiana,2012,REPUBLICAN,0.5412553238022445
113,Iowa,2012,DEMOCRAT,0.5198801653414908
114,Kansas,2012,REPUBLICAN,0.5971132036921613
115,Kentucky,2012,REPUBLICAN,0.6049314159932162
116,Louisiana,2012,REPUBLICAN,0.5778457572847425
117,Maine,2012,DEMOCRAT,0.5537103419348252
118,Massachusetts,2012,DEMOCRAT,0.6033830832021647
119,Michigan,2012,DEMOCRAT,0.5420820421051875
120,Minnesota,2012,REPUBLICAN,0.4495820110666865
121,Mississippi,2012,REPUBLICAN,0.5528584674358112
122,Missouri,2012,REPUBLICAN,0.5376374113587709
123,Montana,2012,REPUBLICAN,0.553515353849205
124,Nebraska,2012,REPUBLICAN,0.5980319217904804
125,Nevada,2012,DEMOCRAT,0.5235624947040056
126,New Hampshire,2012,DEMOCRAT,0.5197968415071198
127,New Jersey,2012,DEMOCRAT,0.5834235491063761
128,New Mexico,2012,DEMOCRAT,0.5299276052046678
129,New York,2012,DEMOCRAT,0.6076098417487449
130,North Carolina,2012,REPUBLICAN,0.5039306410214295
131,North Dakota,2012,REPUBLICAN,0.5831568255855722
132,Ohio,2012,DEMOCRAT,0.5066674765831987
133,Oklahoma,2012,REPUBLICAN,0.6677231974301656
134,Oregon,2012,DEMOCRAT,0.54239326652769
135,Pennsylvania,2012,DEMOCRAT,0.520768577021407
136,Rhode Island,2012,DEMOCRAT,0.627009588632639
137,South Carolina,2012,REPUBLICAN,0.5456113125586141
138,South Dakota,2012,REPUBLICAN,0.5788931187554114
139,Tennessee,2012,REPUBLICAN,0.5947871471993759
140,Texas,2012,REPUBLICAN,0.5716697746805639
141,Utah,2012,REPUBLICAN,0.727905331026891
142,Vermont,2012,DEMOCRAT,0.665705503023823
143,Washington,2012,DEMOCRAT,0.5616339829967276
144,West Virginia,2012,REPUBLICAN,0.6229584241943327
145,Wisconsin,2012,DEMOCRAT,0.5277616253515459
146,Wyoming,2012,REPUBLICAN,0.6819358518713527
